Time 296 done, cost 0.0756929097774348
Time 297 done, cost 0.32520459571956056
Time 298 done, cost 0.0005474994476300856
Time 299 done, cost 0.17784868687636998
Time 300 done, cost 0.037837598053521694
Time 301 done, cost 0.033965296500615035
Time 302 done, cost 0.8253543015230715
Time 303 done, cost 0.0029586616305542716
Time 304 done, cost 0.26758890259751716
Time 305 done, cost 0.03926657383331491
Time 306 done, cost 6.605922713428778
Time 307 done, cost 0.0005450801953009601
Time 308 done, cost 0.0039520231009421035
Time 309 done, cost 5.068844226835374
Time 310 done, cost 0.03596891922204386
Time 311 done, cost 0.04142885019397582
Time 312 done, cost 0.0772408293891831
Time 313 done, cost 0.03654436212621314
Time 314 done, cost 0.1333631774168798
Time 315 done, cost 0.5145585061361876
Time 316 done, cost 0.021513815341086543
Time 317 done, cost 16.57994043392967
Time 318 done, cost 0.009442443328114617
Time 319 done, cost 17.824384153651657
Time 320 done, cost 0.5124385210121515
Time 321 done, cost 0.7688653568222913
Time 322 done, cost 0.006365370882378458
Time 323 done, cost 2.3299443195202425
Time 324 done, cost 0.0020995400849748267
Time 325 done, cost 0.08146374823484902
Time 326 done, cost 0.005569652068371505
Time 327 done, cost 0.6302706858870871
Time 328 done, cost 0.01043829002634277
Time 329 done, cost 0.049354545088817925
Time 330 done, cost 1.5868369570255808e-05
Time 331 done, cost 0.00614932433093692
Time 332 done, cost 0.0024717655424156076
Time 333 done, cost 0.2731371162663416
Time 334 done, cost 2.3367052978488656e-05
Time 335 done, cost 1.0726283655262434
Time 336 done, cost 2.3474290545505525
Time 337 done, cost 0.001371016635968772
Time 338 done, cost 0.0833322667294985
Time 339 done, cost 0.0015360763750430103
Time 340 done, cost 0.034044785391114066
Time 341 done, cost 1.1294455709196156
Time 342 done, cost 2.7179555134309092
Time 343 done, cost 19.72131844241859
Time 344 done, cost 0.39653832397883854
Time 345 done, cost 0.002390805542902599
Time 346 done, cost 0.13449308330692414
Time 347 done, cost 0.00431783770814441
Time 348 done, cost 8.622218357185202
Time 349 done, cost 0.9896570619515092
Time 350 done, cost 0.06461874370128615
Time 351 done, cost 0.029824235851271703
Time 352 done, cost 0.42848657719400174
Time 353 done, cost 0.0008911207647807239
Time 354 done, cost 0.01666949441199284
Time 355 done, cost 0.6629746241494835
Time 356 done, cost 0.23974645971688274
Time 357 done, cost 0.3250681835435882
Time 358 done, cost 0.060764761103852837
Time 359 done, cost 0.01114087723368223
Time 360 done, cost 0.08076941657352683
Time 361 done, cost 0.6511622107751149
Time 362 done, cost 0.3135275226733989
Time 363 done, cost 0.6004901877997925
Time 364 done, cost 2.2639816428206614
Time 365 done, cost 0.3206754313507219
Time 366 done, cost 0.08279947638062814
Time 367 done, cost 0.20853736921942276
Time 368 done, cost 0.14151297480174518
Time 369 done, cost 0.2909394405275739
Time 370 done, cost 0.036018561831813005
Time 371 done, cost 0.030665190245534227
Time 372 done, cost 7.871514385313555
Time 373 done, cost 0.6845419884684236
Time 374 done, cost 12.230626288476579
Time 375 done, cost 0.1715198619565954
Time 376 done, cost 0.0003502504920577957
Time 377 done, cost 0.014477852289071148
Time 378 done, cost 1.6706490186506244
Time 379 done, cost 0.295865610763216
Time 380 done, cost 0.48602686032773396
Time 381 done, cost 0.01002800626852865
Time 382 done, cost 0.011961694204652151
Time 383 done, cost 0.13701951182788588
Time 384 done, cost 0.5765249093927408
Time 385 done, cost 0.7849909551109584
Time 386 done, cost 0.026212810004773792
Time 387 done, cost 26.898101368970682
Time 388 done, cost 1.3909478970770257
Time 389 done, cost 0.014320661218640349
Time 390 done, cost 5.368692304520166
Time 391 done, cost 0.030290596258421083
Time 392 done, cost 0.0239987761598426
Time 393 done, cost 5.342082924680396
Time 394 done, cost 3.6087144679654717
Time 395 done, cost 0.07435166903831343
Time 396 done, cost 9.591228726343772
Time 397 done, cost 12.568860190457658
Time 398 done, cost 0.2805886087943673
Time 399 done, cost 0.30743141579597766
Time 400 done, cost 0.3638781930207802
Time 401 done, cost 0.008046015514389451
Time 402 done, cost 0.026616237813458718
Time 403 done, cost 0.00042384608627365046
Time 404 done, cost 0.051072346287561
Time 405 done, cost 14.525970990051597
Time 406 done, cost 0.2962408744994366
Time 407 done, cost 8.49039094228325e-05
Time 408 done, cost 0.13648724557723307
Time 409 done, cost 0.3009905878082413
Time 410 done, cost 0.0030568406354285573
Time 411 done, cost 0.008228555746425132
Time 412 done, cost 0.0010976959970690101
Time 413 done, cost 2.742789053972722
Time 414 done, cost 4.586547892816814
Time 415 done, cost 3.410551347896669
Time 416 done, cost 0.18476112763402264
Time 417 done, cost 0.34768054789845476
Time 418 done, cost 8.286356309016059
Time 419 done, cost 0.020498063539853405
Time 420 done, cost 4.666746168511276
Time 421 done, cost 0.39785855271867904
Time 422 done, cost 0.3991134054881352
Time 423 done, cost 0.03577062093328464
Time 424 done, cost 0.056651656963258946
Time 425 done, cost 5.673920669520998
Time 426 done, cost 1.7186514178141874
Time 427 done, cost 18.346309142090234
Time 428 done, cost 1.0615207626384073
Time 429 done, cost 9.386906660777697
Time 430 done, cost 0.42150478518732576
Time 431 done, cost 13.867776461135096
Time 432 done, cost 3.394151026913498
Time 433 done, cost 0.0010269985321171551
Time 434 done, cost 14.527866804660441
Time 435 done, cost 0.007780783838705357
Time 436 done, cost 1.1406014762805647
Time 437 done, cost 0.04108346327218167
Time 438 done, cost 15.594997060085047
Time 439 done, cost 0.052070212239757656
Time 440 done, cost 0.05472284538810373
Time 441 done, cost 6.821826722840935
Time 442 done, cost 0.009462140507019661
Time 443 done, cost 4.700576908736332
Time 444 done, cost 0.01250245402975301
Time 445 done, cost 8.236153552517203
Time 446 done, cost 0.012111761217234524
Time 447 done, cost 0.03972171886442873
Time 448 done, cost 0.07122104291469669
Time 449 done, cost 0.003712810874587175
Time 450 done, cost 0.9926555268530032
Time 451 done, cost 0.14443045835532775
Time 452 done, cost 0.34002205749366815
Time 453 done, cost 0.015048568601745428
Time 454 done, cost 0.02490699255395901
Time 455 done, cost 0.04006224307792457
Time 456 done, cost 1.2546893786966367
Time 457 done, cost 0.07732021397996525
Time 458 done, cost 0.22766239521679352
Time 459 done, cost 0.22900963090902446
Time 460 done, cost 0.15293868961849091
Time 461 done, cost 0.3171402050857922
Time 462 done, cost 0.06713589713236191
Time 463 done, cost 0.008788204487921735
Time 464 done, cost 0.12851341604595573
Time 465 done, cost 2.048170762420795e-06
Time 466 done, cost 0.07107311949133571
Time 467 done, cost 0.00181492512473622
Time 468 done, cost 0.14327708519075438
Time 469 done, cost 21.594861863049463
Time 470 done, cost 4.431942709004765
Time 471 done, cost 0.38196474810968223
Time 472 done, cost 1.0084188324460859
Time 473 done, cost 0.01286369341179851
Time 474 done, cost 0.08564403813970463
Time 475 done, cost 6.5473819804807585
Time 476 done, cost 0.00621521412710431
Time 477 done, cost 0.09603720053392849
Time 478 done, cost 0.20961208112810592
Time 479 done, cost 1.3580747672456661
Time 480 done, cost 0.5144019540674706
Time 481 done, cost 33.84098120608893
Time 482 done, cost 0.017742364897978515
Time 483 done, cost 0.00097048977962771
